id,city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,city_id
964,North Kawartha,North Kawartha,ON,Ontario,44.75,-78.1,2479,3.2,America/Toronto,3,K0L,965
965,Sainte-Thècle,Sainte-Thecle,QC,Quebec,46.8167,-72.5,2478,11.6,America/Montreal,3,G0X,966
966,Trenton,Trenton,NS,Nova Scotia,45.6193,-62.6332,2474,407.8,America/Halifax,3,B0K,967
967,Fermont,Fermont,QC,Quebec,52.7833,-67.0833,2474,5.2,America/Montreal,3,G0G,968
968,Esterhazy,Esterhazy,SK,Saskatchewan,50.65,-102.0667,2472,520.9,America/Regina,3,S0A,969
969,Wickham,Wickham,QC,Quebec,45.75,-72.5,2470,25,America/Montreal,3,J0C,970
970,La Présentation,La Presentation,QC,Quebec,45.6667,-73.05,2466,26.1,America/Montreal,3,J0H,971
971,Beaverlodge,Beaverlodge,AB,Alberta,55.2094,-119.4292,2465,430.5,America/Edmonton,3,T0H,972
972,Sainte-Catherine-de-Hatley,Sainte-Catherine-de-Hatley,QC,Quebec,45.25,-72.05,2464,28.5,America/Montreal,3,J0B,973
973,Saint-Basile,Saint-Basile,QC,Quebec,46.75,-71.8167,2463,25.1,America/Montreal,3,G0A,974
974,Saint-Raphaël,Saint-Raphael,QC,Quebec,46.8,-70.75,2463,20.3,America/Montreal,4,G0R,975
975,Holyrood,Holyrood,NL,Newfoundland and Labrador,47.3833,-53.1333,2463,19.6,America/St_Johns,4,A0A,976
976,Gracefield,Gracefield,QC,Quebec,46.0926,-75.9574,2462,6.4,America/Montreal,4,J0X,977
977,Saint-Martin,Saint-Martin,QC,Quebec,45.9667,-70.65,2462,20.8,America/Montreal,4,G0M,978
978,Causapscal,Causapscal,QC,Quebec,48.3667,-67.2333,2458,15.2,America/Montreal,3,G0J,979
979,Brigham,Brigham,QC,Quebec,45.25,-72.85,2457,28.2,America/Montreal,3,J2K,980
980,Perry,Perry,ON,Ontario,45.5,-79.2833,2454,13.1,America/Toronto,3,P0A,981
981,Port-Daniel--Gascons,Port-Daniel--Gascons,QC,Quebec,48.1833,-64.9667,2453,8.1,America/Montreal,3,G0C,982
982,Rosetown,Rosetown,SK,Saskatchewan,51.55,-107.9833,2451,201.9,America/Regina,3,S0L,983
983,Minnedosa,Minnedosa,MB,Manitoba,50.2453,-99.8428,2449,161.1,America/Winnipeg,3,R0J,984
984,Labelle,Labelle,QC,Quebec,46.2833,-74.7333,2445,12.3,America/Montreal,3,J0T,985
